AFNOR;SANDRE;DENOMINATION;CL1;CL2;CL3;CL4;CL5;CL6;CL7;Val.Ind.;Origine
ASUT;7060;Achnanthes sutura Carter                                                                                                                  ;0;0,00145;0,00207;0,06133;0,16114;0,58266;0,19135;1,071610824;T-Cor
ATAI;11208;Achnanthes taiaensis Carter et Denny                                                                                                      ;0;0;0;0;0,00003;0,01214;0,98783;1,647618701;L-P
ATRC;7064;Achnanthes triconfusa Van Landingham                                                                                                      ;0;0;0,08847;0,74346;0,10848;0,01718;0,04241;1,279183781;T-Cor
ATWE;11225;Amphora twenteana Krammer                                                                                                                 ;0;0,05732;0,08257;0,769;0,09111;0;0;1,317167296;T-Cor
AUAJ;34796;Aulacoseira ambigua f, japonica Tuji et Williams                                                                                          ;0,00774;0,02737;0,12454;0,41909;0,39255;0,02814;0,00058;0,983506197;T-Cor
AUAL;8553;Aulacoseira alpigena Grunow) Krammer                                                                                                      ;0;0,11863;0,19303;0,60749;0,00364;0,03456;0,04265;1,095883897;L-P
AUCR;11261;Aulacoseira crenulata (Ehrenberg) Thwaites                                                                                                ;0;0,08585;0,15191;0,32822;0,34477;0,08924;0;0,836386694;L-P
AUDA;8557;Aulacoseira distans var, alpigena (Grunow) Simonsen                                                                                       ;0;0,11863;0,19303;0,60749;0,00364;0,03456;0,04265;1,095883897;T-Cor
AUDI;8555;Aulacoseira distans (Ehr,) Simonsen var, distans                                                                                          ;0,00018;0,00605;0,05996;0,22356;0,58971;0,11009;0,01045;1,08242047;L-P
AUDN;8556;Aulacoseira distans var, nivalis (Wm, Smith) Haworth                                                                                      ;0;0;0;0,00318;0,00223;0,05298;0,9416;1,577488527;L-P
AUGA;8561;Aulacoseira granulata var, angustissima (O, Müller) Simonsen                                                                              ;0,08009;0,10799;0,16132;0,52751;0,11683;0,00625;0,00002;0,966064794;L-P
AUGR;8559;Aulacoseira granulata (Ehrenberg) Simonsen var, granulata                                                                                 ;0,02446;0,05031;0,16062;0,56411;0,19057;0,00983;0,0001;1,039632651;L-P
AUHV;;Aulacoseira helvetica (Hustedt) Houk, Klee & H, Tanaka comb,nov,                                                                          ;0;0,11863;0,19303;0,60749;0,00364;0,03456;0,04265;1,095883897;T-Cor
AUIC;8567;Aulacoseira italica f, curvata (Pant,) Davydova in Gleser et al,                                                                          ;0;0;0;0,13943;0,31126;0,54135;0,00795;1,076668028;T-Cor
AUIS;8564;Aulacoseira islandica (O, Müller)Simonsen                                                                                                 ;0;0;0;0;0,94042;0,05958;0;1,576237574;L-P
AUIT;8566;Aulacoseira italica (Ehr,) Simonsen var, italica                                                                                          ;0;0;0;0,13943;0,31126;0,54135;0,00795;1,076668028;L-P
AUIV;8570;Aulacoseira italica var, valida (Grunow) Simonsen                                                                                         ;0;0,01597;0,07604;0,2769;0,59904;0,02658;0,00547;1,121145866;T-Cor
AUMA;7068;Achnanthes umara Carter                                                                                                                   ;0;0,00145;0,00207;0,06133;0,16114;0,58266;0,19135;1,071610824;T-Cor
AUMU;;Aulacoseira multistriata (Patrick) Houk, Klee & H, Tanaka comb, nov,                                                                      ;0;0;0;0,13943;0,31126;0,54135;0,00795;1,076668028;T-Cor
AUPD;11291;Aulacoseira pseudodistans Lange-Bertalot 'manuskriptnamen'                                                                                ;0;0,00014;0,0671;0,19578;0,73602;0,00097;0;1,290226515;L-P
AUPF;8575;Aulacoseira pfaffiana (Reinsch) Krammer                                                                                                   ;0;0;0;0,00318;0,00223;0,05298;0,9416;1,577488527;T-Cor
AUPU;11270;Aulacoseira pusilla (Meister) Tuji et Houki                                                                                               ;0;0;0;0;0,08739;0,61099;0,30162;1,159217285;T-Cor
AUSB;11272;Aulacoseira subborealis (Nygaard) Denys Muylaert et Krammer                                                                               ;0;0;0;0;0,08739;0,61099;0,30162;1,159217285;L-P
AUSS;8577;Aulacoseira subarctica f, subborealis (Nygaard) Haworth                                                                                   ;0;0;0;0;0,08739;0,61099;0,30162;1,159217285;T-Cor
AUSU;8576;Aulacoseira subarctica (O, Müller) Haworth var, subarctica                                                                                ;0;0,08832;0,5498;0,19637;0,12355;0,0407;0,00126;1,01271059;L-P
AUTN;20684;Aulacoseira tenuior Krammer                                                                                                               ;0;0,00081;0,03467;0,25787;0,28848;0,21112;0,20706;0,778109365;L-P
AUVA;8578;Aulacoseira valida Grunow)Krammer                                                                                                         ;0;0,01597;0,07604;0,2769;0,59904;0,02658;0,00547;1,121145866;L-P
AVAR;29484;Anomoeoneis variabilis (Ross) Reimer                                                                                                      ;0,00376;0,00155;0;0,003;0,00639;0,26841;0,71691;1,29185977;T-Cor
AVCA;7123;Amphora veneta var, capitata Haworth                                                                                                      ;0;0,11803;0,51624;0,3021;0,05905;0,00458;0;1,027259897;T-Cor
AVCR;11295;Achnanthes ventralis var, crassa (Reimer) Lange-Bertalot                                                                                  ;0;0;0,01026;0,03905;0,07183;0,6542;0,22466;1,175769005;T-Cor
AVEN;7122;Amphora veneta Kützing var, veneta                                                                                                        ;0,19526;0,33128;0,22628;0,20304;0,04179;0,00235;0,00001;0,78661929;L-P
AVET;11297;Amphora veneta f, anormale                                                                                                                ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
AVIT;7146;Anomoeoneis vitrea (Grunow) Ross                                                                                                          ;0,00376;0,00155;0;0,003;0,00639;0,26841;0,71691;1,29185977;T-Cor
AVTL;7069;Achnanthes ventralis (Krasske) Lange-Bertalot var, ventralis                                                                              ;0;0;0,01026;0,03905;0,07183;0,6542;0,22466;1,175769005;T-Cor
AVTU;28646;Amphora vetula Levkov, var, vetula                                                                                                        ;0,00078;0,00441;0,03557;0,2491;0,58591;0,12264;0,00159;1,093516944;T-Cor
AWIC;7070;Achnanthes wickenensis Carter                                                                                                             ;0,00065;0;0,0045;0,07336;0,73395;0,18654;0,00101;1,284057198;T-Cor
AXST;29400;Anomoeoneis sculpta var, temperei (Frenguelli) Frenguelli                                                                                 ;0,17288;0,66653;0,08124;0,04841;0,02775;0,00318;0;1,17409204;T-Cor
BAMP;37927;Bacillaria amphibia (Grunow) Elmore in Barbour var, amphibia                                                                              ;0,01473;0,19579;0,35151;0,25308;0,1664;0,01841;0,00008;0,813573237;T-Cor
BASU;37933;Bacillaria subtilis (Kützing) Elmore in Barbour                                                                                           ;0,00916;0,00668;0,06054;0,38652;0,43415;0,09344;0,00951;0,989306066;T-Cor
BBER;32074;Belonastrum berolinensis (Lemmermann) Round et Maidana                                                                                    ;0;0;0;0;0,87734;0,12266;0;1,486955638;T-Cor
BBRE;11316;Brachysira brebissonii subsp, brebissonii in Lange-Bertalot et Moser                                                                      ;0;0,0002;0,00008;0,00196;0,00471;0,05718;0,93588;1,568894956;L-P
BBTH;11319;Brachysira brebissonii f, thermalis (Grunow in Van Heurck) Ross                                                                           ;0;0;0;0,02345;0,94444;0;0,03211;1,580911789;L-P
BEXI;7156;Brachysira exilis Round et Mann var, exilis                                                                                               ;0;0,00018;0,00002;0,00023;0,0042;0,02691;0,96847;1,617870406;T-Cor
BLEV;8580;Biddulphia laevis Ehrenberg                                                                                                               ;0;0,70034;0,16627;0,13255;0,00084;0;0;1,23572604;T-Cor
BLIL;10434;Brachysira liliana Lange-Bertalot                                                                                                         ;0;0;0;0;0;0,0013;0,9987;1,664442306;T-Cor
BMIC;7158;Brachysira microcephala (Grunow) Compère                                                                                                  ;0;0,00018;0,00002;0,00023;0,0042;0,02691;0,96847;1,617870406;T-Cor
BNEG;10441;Brachysira neglectissima Lange-Bertalot                                                                                                   ;0,00376;0,00155;0;0,003;0,00639;0,26841;0,71691;1,29185977;T-Cor
BNEO;7159;Brachysira neoexilis Lange-Bertalot                                                                                                       ;0;0,00018;0,00002;0,00023;0,0042;0,02691;0,96847;1,617870406;L-P
BNTG;10443;Brachysira neoexilis f, anormale                                                                                                          ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
BPAR;8782;Bacillaria paradoxa Gmelin in Linneaeus                                                                                                   ;0,04766;0,47991;0,31644;0,14383;0,00954;0,00263;0,00001;0,994038843;T-Cor
BPAT;10521;Bacillaria paxillifera f, anormale                                                                                                        ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
BPAX;20044;Bacillaria paxillifera (O,F, Müller) Hendey var, paxillifera                                                                              ;0,04766;0,47991;0,31644;0,14383;0,00954;0,00263;0,00001;0,994038843;L-P
BPRO;10450;Brachysira procera Lange-Bertalot et Moser                                                                                                ;0;0;0;0;0;0,0013;0,9987;1,664442306;L-P
BPXF;10522;Bacillaria paxillifer (O,F, Müller) T, Marsson var, paxillifer                                                                            ;0,04766;0,47991;0,31644;0,14383;0,00954;0,00263;0,00001;0,994038843;T-Cor
BRUT;7150;Berkeleya rutilans (Trentepohl) Grunow in Cleve et Grunow                                                                                 ;0;0,36065;0,26533;0,25256;0,08644;0,03502;0;0,852497275;L-P
BSER;10501;Brachysira serians (Brébisson ex Kützing) Round et Mann var, serians                                                                      ;0;0;0,02199;0,01155;0,00809;0,76865;0,18972;1,335687811;L-P
BVER;37934;Bacillaria vermicularis (Kützing) Elmore in Barbour                                                                                       ;0,00035;0,0035;0,02964;0,19848;0,68386;0,08347;0,00071;1,211529154;T-Cor
BVIR;43185;Bacillaria viridis Nitzsch                                                                                                                ;0,00421;0,00779;0,04188;0,15555;0,5502;0,19521;0,04517;1,01776102;T-Cor
BVIT;7162;Brachysira vitrea (Grunow) Ross in Hartley                                                                                                ;0,00376;0,00155;0;0,003;0,00639;0,26841;0,71691;1,29185977;L-P
CAAG;7165;Caloneis alpestris var, grunowii Meister                                                                                                  ;0;0;0;0;0;0,98838;0,01162;1,648474607;T-Cor
CAAM;6610;Ceratoneis arcus var, amphioxys (Rabenhorst) Brun                                                                                         ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
CAEQ;7257;Cymbella aequalis W,M, Smith in Greville var, aequalis                                                                                    ;0;0;0;0,00016;0;0,00018;0,99965;1,665920563;T-Cor
CAEX;11431;Cymbella excisa Kützing var, excisa                                                                                                       ;0;0,00292;0,00272;0,04961;0,22177;0,60427;0,1187;1,105995894;L-P
CAFA;7176;Caloneis fasciata (Lagerstedt) Cleve var, fasciata                                                                                        ;0,00003;0,00111;0,01711;0,11729;0,53532;0,3181;0,01103;1,066099387;T-Cor
CAFF;11432;Cymbella affinis Kützing var, affinis                                                                                                     ;0;0,00009;0,00047;0,02239;0,12057;0,55496;0,30152;1,082885129;L-P
CAFM;11433;Cymbella affiniformis Krammer                                                                                                             ;0;0;0;0;0;0,94511;0,05489;1,583152841;L-P
CAFX;40972;Cymbella affinis var, excisa (Kützing) Grunow                                                                                             ;0;0,00292;0,00272;0,04961;0,22177;0,60427;0,1187;1,105995894;T-Cor
CAGR;11415;Cyclotella atomus var, gracilis Genkal et Kiss                                                                                            ;0,00071;0,00726;0,18399;0,51214;0,26339;0,03203;0,00048;1,014265836;L-P
CAHA;29137;Ceratoneis arcus (Ehrenberg) Kützing var, hattoriana Meister                                                                              ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
CAIN;11439;Cymbella amphicephala var, intermedia Cleve-Euler                                                                                         ;0;0,0358;0,05501;0,08094;0,52003;0,28844;0,01978;1,011666416;T-Cor
CAMB;7243;Craticula ambigua (Ehrenberg) Mann                                                                                                        ;0,255;0,52129;0,12243;0,07599;0,02369;0,00161;0;1,001204018;L-P
CAMP;11477;Caloneis amphisbaena (Bory) Cleve var, amphisbaena                                                                                        ;0,00385;0,20183;0,61971;0,14685;0,01872;0,00905;0;1,127030958;L-P
CANN;44436;Cymbella aspera var, neogena (Grunow) Cleve                                                                                               ;0,04491;0,06234;0,22726;0,23713;0,27648;0,14573;0,00615;0,710345749;T-Cor
CAPH;7260;Cymbella amphicephala Naegeli ex Kützing var, amphicephala                                                                                ;0;0,00386;0;0,04438;0,0638;0,69611;0,19186;1,226191004;T-Cor
CAPS;7164;Caloneis alpestris (Grunow) Cleve var, alpestris                                                                                          ;0;0;0;0;0;0,98838;0,01162;1,648474607;L-P
CAQG;32644;Cymbella aequalis var, grevillei Cleve-Euler                                                                                              ;0;0;0;0,00016;0;0,00018;0,99965;1,665920563;T-Cor
CAQP;11486;Cymbella aequalis var, pisciculus (Gregory) Cleve-Euler                                                                                   ;0;0;0;0,00016;0;0,00018;0,99965;1,665920563;T-Cor
CARC;6609;Ceratoneis arcus (Ehrenberg) Kützing var, arcus                                                                                           ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
CARL;6611;Ceratoneis arcus var, linearis Holmboe                                                                                                    ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
CASP;7268;Cymbella aspera (Ehrenberg) Cleve var, aspera                                                                                             ;0;0;0,0036;0,10167;0,55844;0,30409;0,03221;1,085347109;L-P
CATE;7195;Caloneis tenuis (Gregory) Krammer                                                                                                         ;0;0;0;0,07498;0,22065;0,27304;0,43132;0,930411154;L-P
CATG;11492;Cymbella affinis f, anormale                                                                                                              ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
CATO;8603;Cyclotella atomus Hustedt var, atomus                                                                                                     ;0,01673;0,02687;0,37935;0,35703;0,20714;0,01282;0,00005;0,931364808;L-P
CAVA;29138;Ceratoneis arcus var, vaucheriae (Kützing) Fukushima et Kobayasi                                                                          ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
CAVE;7197;Caloneis ventricosa (Ehr,Donkin) Meister var, ventricosa                                                                                  ;0;0,01187;0,05577;0,29383;0,44523;0,17896;0,01434;0,939278347;T-Cor
CBAC;7171;Caloneis bacillum (Grunow) Cleve var, bacillum                                                                                            ;0,00003;0,00111;0,01711;0,11729;0,53532;0,3181;0,01103;1,066099387;L-P
CBAH;44429;Cyclotella bachmannii Meister (as Cyclotella glomerata bachmannii)                                                                        ;0;0,00729;0,0028;0,01764;0,42621;0,52996;0,0161;1,148128626;T-Cor
CBAM;7382;Cymbopleura amphicephala Krammer                                                                                                          ;0;0,00386;0;0,04438;0,0638;0,69611;0,19186;1,226191004;L-P
CBAP;11526;Cymbopleura apiculata Krammer                                                                                                             ;0;0,0358;0,05501;0,08094;0,52003;0,28844;0,01978;1,011666416;T-Cor
CBAT;11500;Caloneis bacillum f, anormale                                                                                                             ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
CBBI;38734;Cyclotella balatonis var, binotata Pantocsek                                                                                              ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
CBCU;11507;Cymbopleura cuspidata (Kützing) Krammer                                                                                                   ;0;0,0358;0,05501;0,08094;0,52003;0,28844;0,01978;1,011666416;L-P
CBEL;8655;Cymatosira belgica Grunow in Van Heurck                                                                                                   ;0,00569;0,75467;0,21972;0,01991;0;0;0;1,326047076;L-P
CBFC;28224;Caloneis bacillum var, fasciata (Lagerstedt) Mayer                                                                                        ;0,00003;0,00111;0,01711;0,11729;0,53532;0,3181;0,01103;1,066099387;T-Cor
CBFO;39130;Caloneis bacillum var, fontinalis (Grunow in Van Heurck) Cleve                                                                            ;0,00003;0,00111;0,01711;0,11729;0,53532;0,3181;0,01103;1,066099387;T-Cor
CBHD;34773;Cymbopleura hustedtii Novelo Tavera et Ibarra                                                                                             ;0,00183;0,00084;0,00324;0,1311;0,5373;0,3005;0,02519;1,058842687;T-Cor
CBIP;7273;Cymbella bipartita A,Mayer var, bipartita                                                                                                 ;0;0;0,01087;0,01903;0,00711;0,27515;0,68784;1,251298805;T-Cor
CBKU;11583;Cymbopleura kuelbsii Krammer var, kuelbsii                                                                                                ;0;0;0;0;0,00334;0,23277;0,76389;1,346196659;L-P
CBLA;33005;Caloneis bacillum var, lancettula (Schulz) Hustedt                                                                                        ;0,00003;0,00111;0,01711;0,11729;0,53532;0,3181;0,01103;1,066099387;T-Cor
CBNA;11565;Cymbopleura naviculiformis (Auerswald) Krammer var, naviculiformis                                                                        ;0;0,00152;0,00511;0,15348;0,29969;0,36368;0,17651;0,860164231;L-P
CBOD;8605;Cyclotella bodanica Eulenstein in Grunow var, bodanica                                                                                    ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
CBPD;7274;Cymbella bipartita var, densestriata A, Cleve-Euler                                                                                       ;0;0;0,01087;0,01903;0,00711;0,27515;0,68784;1,251298805;T-Cor
CCAC;32962;Cymbella cistula var, asiatica Mereschkowsky                                                                                              ;0,04491;0,06234;0,22726;0,23713;0,27648;0,14573;0,00615;0,710345749;T-Cor
CCAE;7277;Cymbella caespitosa (Kützing) Brun var, caespitosa                                                                                        ;0;0,00076;0,00805;0,15121;0,43353;0,35934;0,04712;0,976090515;T-Cor
CCAS;8608;Cyclotella caspia Grunow var, caspia                                                                                                      ;0,02123;0,05964;0,31733;0,34851;0,24862;0,00467;0;0,881718028;L-P
CCAW;41030;Cymbella caespitosa var, auerswaldii (Rabenhorst) Cleve-Euler                                                                             ;0;0,00076;0,00805;0,15121;0,43353;0,35934;0,04712;0,976090515;T-Cor
CCBD;38054;Cyclotella comta var, bodanica Grunow in Van Heurck                                                                                       ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
CCBN;38735;Cyclotella comta f, binotata (Pantocsek) Cleve-Euler                                                                                      ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
CCCP;8617;Cyclotella cyclopuncta Håkansson et Carter                                                                                                ;0;0,0017;0,01525;0,24012;0,39382;0,27673;0,07238;0,894437455;L-P
CCDO;34774;Cymbella chandolensis Gandhi                                                                                                              ;0,00037;0,00331;0,04577;0,14642;0,29546;0,31257;0,1961;0,797792545;T-Cor
CCES;7278;Cymbella cesatii (Rabenhorst) Grunow in Schmidt et al, var, cesatii                                                                       ;0;0;0;0,00493;0,01382;0,18856;0,79269;1,372874522;T-Cor
CCFM;;Cymbella cesatii f, minor Manguin                                                                                                         ;0;0;0;0,00493;0,01382;0,18856;0,79269;1,372874522;T-Cor
CCGI;30029;Cymbella cistula var, gibbosa Brun                                                                                                        ;0;0;0,02035;0,03601;0,05533;0,70926;0,17904;1,240523956;T-Cor
CCHE;32963;Cymbella cistula var, hebetata (Pantocsek) A, Cleve                                                                                       ;0,04491;0,06234;0,22726;0,23713;0,27648;0,14573;0,00615;0,710345749;T-Cor
CCHO;30955;Cyclotella choctawhatcheeana Prasad                                                                                                       ;0,02123;0,05964;0,31733;0,34851;0,24862;0,00467;0;0,881718028;T-Cor
CCHT;41020;Cyclotella chantaica Kuzmina et Genkal in Genkal et Kuzmina                                                                               ;0;0;0;0,04127;0,86716;0,09157;0;1,466359767;T-Cor
CCIG;38983;Cyclostephanos incognitus (Kuzmin et Genkal) Houk Klee et Tanaka                                                                          ;0,03257;0,1469;0,49238;0,29742;0,01917;0,01135;0,00021;0,994878365;T-Cor
CCIS;7280;Cymbella cistula (Hemprich in Hemprich et Ehrenberg) Kirchner var, cistula                                                                ;0,04491;0,06234;0,22726;0,23713;0,27648;0,14573;0,00615;0,710345749;L-P
CCLN;41034;Cymbella cesatii var, linearis Reimer                                                                                                     ;0;0;0;0,00493;0,01382;0,18856;0,79269;1,372874522;T-Cor
CCME;38733;Cyclotella comta var, melosiroides Kirchner in Schroeter et Kirchner                                                                      ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
CCMI;32957;Cymbella cistula f, minor A,Mayer                                                                                                         ;0,04491;0,06234;0,22726;0,23713;0,27648;0,14573;0,00615;0,710345749;T-Cor
CCMP;11662;Cymbella compacta Østrup                                                                                                                  ;0;0;0,00538;0;0,04946;0,2413;0,70387;1,258909784;L-P
CCMS;8609;Cyclotella comensis Grunow in Van Heurck                                                                                                  ;0,00457;0,00211;0,01948;0,34795;0,33866;0,27672;0,01051;0,926831315;L-P
CCOC;7207;Cavinula cocconeiformis (Gregory ex Greville) Mann et Stickle in Round Crawford et Mann var, cocconeiformis                               ;0;0;0;0,01022;0,08767;0,36347;0,53863;1,104835016;L-P
CCOL;8613;Cyclotella comta var, oligactis (Ehrenberg) Grunow in Van Heurck                                                                          ;0;0;0;0,04127;0,86716;0,09157;0;1,466359767;T-Cor
CCOM;8610;Cyclotella comta (Ehrenberg) Kützing f, comta                                                                                             ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
CCOS;8615;Cyclotella costei Druart et Straub                                                                                                        ;0;0,0017;0,01525;0,24012;0,39382;0,27673;0,07238;0,894437455;T-Cor
CCOU;40619;Cyclotella comta var, unipunctata Fricke in Schmidt et al,                                                                                ;0;0,0017;0,01525;0,24012;0,39382;0,27673;0,07238;0,894437455;T-Cor
CCQJ;8614;Cyclotella comta var, quadrijuncta Schröter                                                                                               ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
CCRA;8611;Cyclotella comta var, radiosa Grunow in Van Heurck                                                                                        ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
CCRT;32958;Cymbella cistula f, recta A,Mayer                                                                                                         ;0,04491;0,06234;0,22726;0,23713;0,27648;0,14573;0,00615;0,710345749;T-Cor
CCRU;11672;Capartogramma crucicula Grun,ex Cl,)Ross                                                                                                  ;0;0;0,01946;0,03341;0,11812;0,82901;0;1,410680416;L-P
CCRY;8616;Cyclotella cryptica Reimann, Lewin et Guillard                                                                                            ;0,02491;0,13732;0,4016;0,23845;0,18243;0,01507;0,00022;0,84884314;T-Cor
CCSI;20703;Cyclotella sinensis (Ehrenberg) Ralfs in Pritchard                                                                                        ;0,064;0,8518;0,05165;0,03255;0;0;0;1,439811591;T-Cor
CCTC;32959;Cymbella cistula f, truncata A,Mayer                                                                                                      ;0,04491;0,06234;0,22726;0,23713;0,27648;0,14573;0,00615;0,710345749;T-Cor
CCTL;11704;Cyclostephanos costatilimbus Kobayasi et Kob,) Stoermer Håkansson et Theriot                                                              ;0;0,02177;0,52688;0,31626;0,12305;0;0,01203;1,053915398;L-P
CCTY;32960;Cymbella cistula f, typica A,Mayer                                                                                                        ;0,04491;0,06234;0,22726;0,23713;0,27648;0,14573;0,00615;0,710345749;T-Cor
CCUD;32961;Cymbella cistula f, undulata A,Mayer                                                                                                      ;0,04491;0,06234;0,22726;0,23713;0,27648;0,14573;0,00615;0,710345749;T-Cor
CCUH;30022;Craticula cuspidata var, héribaudii M, Peragallo                                                                                          ;0,33688;0,25588;0,2089;0,14333;0,05139;0,00351;0,0001;0,79512709;T-Cor
CCUN;7287;Cymbella cymbiformis var, unipunctata Cleve-Euler                                                                                         ;0;0;0,02035;0,03601;0,05533;0,70926;0,17904;1,240523956;T-Cor
CCUS;7283;Cymbella cuspidata Kützing var, cuspidata                                                                                                 ;0;0,0358;0,05501;0,08094;0,52003;0,28844;0,01978;1,011666416;T-Cor
CCYM;7285;Cymbella cymbiformis Agardh var, cymbiformis                                                                                              ;0;0;0,02035;0,03601;0,05533;0,70926;0,17904;1,240523956;L-P
CDAH;34916;Cyclotella dahurica M, Kachaeva                                                                                                           ;0,0218;0,05531;0,11556;0,4669;0,22183;0,11767;0,00094;0,900188927;T-Cor
CDAL;30956;Cyclotella dallasiana W, Smith                                                                                                            ;0,064;0,8518;0,05165;0,03255;0;0;0;1,439811591;T-Cor
CDDI;30020;Cocconeis disculus (Schumann) Cleve var, diminuta (Pantocsek) Cleve-Euler                                                                 ;0,013;0;0,00693;0,08371;0,50703;0,31626;0,07308;1,018928409;T-Cor
CDEL;7288;Cymbella delicatula Kützing var, delicatula                                                                                               ;0,00068;0;0,00061;0,00102;0,0008;0,03051;0,96638;1,614762494;T-Cor
CDIM;7217;Cocconeis diminuta Pantocsek                                                                                                              ;0,013;0;0,00693;0,08371;0,50703;0,31626;0,07308;1,018928409;T-Cor
CDIS;7218;Cocconeis disculus (Schumann) Cleve in Cleve et Jentzsch var, disculus                                                                    ;0;0;0,02148;0,14825;0,43398;0,39228;0,00401;1,011355534;L-P
CDMI;7219;Cocconeis disculus (Schumann) Cleve var, minor Fontell in Backman et Cleve-Euler                                                          ;0,013;0;0,00693;0,08371;0,50703;0,31626;0,07308;1,018928409;T-Cor
CDNO;11720;Cymbella dorsenotata Østrup                                                                                                               ;0,04491;0,06234;0,22726;0,23713;0,27648;0,14573;0,00615;0,710345749;T-Cor
CDTG;8619;Cyclotella distinguenda Hustedt var, distinguenda                                                                                         ;0,00457;0,01359;0,04478;0,27419;0,31964;0,21748;0,12575;0,788045393;L-P
CDUB;8599;Cyclostephanos dubius (Fricke) Round                                                                                                      ;0,01791;0,04715;0,17145;0,46491;0,28378;0,01478;0,00003;0,954117125;L-P
CDUN;8618;Cyclotella distinguenda var, unipunctata (Hustedt) Håkansson et Carter                                                                    ;0;0,0017;0,01525;0,24012;0,39382;0,27673;0,07238;0,894437455;T-Cor
CEAX;;Ceratoneis amphioxys Rabenhorst                                                                                                           ;0;0,0002;0,00107;0,00828;0,02145;0,0767;0,89229;1,502878298;T-Cor
CEHR;7293;Cymbella ehrenbergii Kützing var, ehrenbergii                                                                                             ;0;0,00547;0,01261;0,4405;0,49434;0,04407;0,00302;1,11884476;L-P
CELL;7249;Cymatopleura elliptica (Brebisson ex Kützing) W, Smith var, elliptica                                                                     ;0;0,00227;0,01798;0,13881;0,62029;0,2194;0,00125;1,13445362;L-P
CEPR;11755;Cymbella excisa var, procera Krammer                                                                                                      ;0;0;0;0,11466;0,63095;0,25439;0;1,164272299;L-P
CETG;11757;Cymbella excisa f, anormale                                                                                                               ;0,84623;0,11048;0,02177;0,01822;0,00319;0,0001;0,00001;1,435805882;T-Cor
CEUG;11785;Cocconeis euglypta Ehrenberg                                                                                                              ;0,00012;0,00309;0,05664;0,2889;0,4759;0,15391;0,02144;0,968125142;T-Cor
CFFO;28765;Caloneis fasciata var, fonticola (Grunow in Van Heurck) Østrup                                                                            ;0,00003;0,00111;0,01711;0,11729;0,53532;0,3181;0,01103;1,066099387;T-Cor
CFFT;38653;Caloneis fasciata var, fonticola (Grunow in Van Heurck) Boye-Petersen                                                                     ;0,00003;0,00111;0,01711;0,11729;0,53532;0,3181;0,01103;1,066099387;T-Cor
CFLZ;32634;Cymbella filarszkyi Halasz                                                                                                                ;0;0;0,00538;0;0,04946;0,2413;0,70387;1,258909784;T-Cor
CGAM;11801;Cyclotella gamma Sovereign                                                                                                                ;0,02491;0,13732;0,4016;0,23845;0,18243;0,01507;0,00022;0,84884314;T-Cor
CGAS;30026;Cymbella gastroides (Kützing) Kützing var, gastroides                                                                                     ;0;0;0,0036;0,10167;0,55844;0,30409;0,03221;1,085347109;T-Cor
CGLC;30033;Cymbella gallica Héribaud                                                                                                                 ;0,00008;0,00014;0,00187;0,03435;0,18965;0,43156;0,34235;0,973473366;T-Cor
CGLO;8622;Cyclotella glomerata Bachmann                                                                                                             ;0;0,00729;0,0028;0,01764;0,42621;0,52996;0,0161;1,148128626;T-Cor
CGMN;34775;Cymbella gracilis var, minuta (Hilse in Rabenhorst) Rabenhorst                                                                            ;0,00037;0,00331;0,04577;0,14642;0,29546;0,31257;0,1961;0,797792545;T-Cor
CGNG;44437;Cymbella gastroides(Kützing) Kützing var, neogena Grunow                                                                                  ;0,04491;0,06234;0,22726;0,23713;0,27648;0,14573;0,00615;0,710345749;T-Cor
CGRA;7300;Cymbella gracilis (Ehrenberg) Kützing var, gracilis                                                                                       ;0,00209;0;0,00464;0,00312;0,04318;0,16658;0,7804;1,347170613;T-Cor
